course,isbn1,publisher1,author1,year1,title1,type1a,buyrent1a,option1a,price1a,type1b,buyrent1b,option1b,price1b,type1c,buyrent1c,option1c,price1c,type1d,buyrent1d,option1d,price1d,type1e,buyrent1e,option1e,price1e,title2,type2a,buyrent2a,option2a,price2a,type2b,buyrent2b,option2b,price2b,type2c,buyrent2c,option2c,price2c,type2d,buyrent2d,option2d,price2d,type2e,buyrent2e,option2e,price2e,title3,type3a,buyrent3a,option3a,price3a,type3b,buyrent3b,option3b,price3b,type3c,buyrent3c,option3c,price3c,type3d,buyrent3d,option3d,price3d,type3e,buyrent3e,option3e,price3e
All : 2016 Fall : Course ID 94632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : THTR : 213 : 001 : Course ID 94588,9780325009193, Heinemann, Mason ,2007,"Creating Life on Stage
		            	",PAPERBACK ,BUY ,NEW ,$23.25 ,PAPERBACK ,BUY ,USED ,$17.50 ,PAPERBACK ,RENT ,NEW ,$17.44 ,PAPERBACK ,RENT ,USED ,$9.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : THTR : 220 : 001 : Course ID 94590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : THTR : 220 : 003 : Course ID 94591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : THTR : 220 : 005 : Course ID 94592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : THTR : 216 : 001 : Course ID 94589,9780878301171, Routledge, Johnstone ,1981,"Impro
		            	",PAPERBACK ,BUY ,NEW ,$40.95 ,PAPERBACK ,BUY ,USED ,$30.75 ,PAPERBACK ,RENT ,NEW ,$30.71 ,PAPERBACK ,RENT ,USED ,$16.38 ,Digital ,BUY ,,$40.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : THTR : 315 : 001 : Course ID 94593,9780393921526," W. W. Norton & Company, Incorporated", Gainor ,2014,"Norton Anthology of Drama (V2)
		            	",PAPERBACK ,BUY ,NEW ,$83.00 ,PAPERBACK ,BUY ,USED ,$62.25 ,PAPERBACK ,RENT ,NEW ,$45.65 ,PAPERBACK ,RENT ,USED ,$33.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : THTR : 101 : 001 : Course ID 94587,9780573627521," Samuel French, Incorporated", Frayn ,2000,"Copenhagen
		            	", ,BUY ,NEW ,$9.95 , ,BUY ,USED ,$7.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : SET : 301 : 101 : Course ID 94543,9780070159143, McGraw-Hill, Anderson ,1998,"Surveying
		            	", ,BUY ,NEW ,$333.75 , ,BUY ,USED ,$250.50 , ,RENT ,USED ,$133.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : SET : 302 : 101 : Course ID 94544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : SET : 304 : 451 : Course ID 94547,9780470464915," John Wiley & Sons, Incorporated", Ghilani ,2010,"Adjustment Computations
		            	",Hardcover ,BUY ,NEW ,$201.25 ,Hardcover ,BUY ,USED ,$151.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : SET : 303 : 103 : Course ID 94546,9780071761123, McGraw-Hill, Wolf ,2013,"Elements of Photogrammetry
		            	",Hardcover ,BUY ,NEW ,$162.00 ,Hardcover ,BUY ,USED ,$121.50 ,Hardcover ,RENT ,NEW ,$121.50 ,Hardcover ,RENT ,USED ,$64.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : SET : 303 : 101 : Course ID 94545,9780071761123, McGraw-Hill, Wolf ,2013,"Elements of Photogrammetry
		            	",Hardcover ,BUY ,NEW ,$162.00 ,Hardcover ,BUY ,USED ,$121.50 ,Hardcover ,RENT ,NEW ,$121.50 ,Hardcover ,RENT ,USED ,$64.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : SET : 307 : 101 : Course ID 94548,9780071761123," John Wiley & Sons, Incorporated", Robillard ,2014,"Brown's Boundary Control & Legal Prin
		            	",Hardcover ,BUY ,NEW ,$150.00 ,Hardcover ,BUY ,USED ,$112.50 ,Hardcover ,RENT ,NEW ,$97.50 ,Hardcover ,RENT ,USED ,$60.00 ,Digital ,BUY ,,$112.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 201 : 001 : Course ID 94552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 201 : 003 : Course ID 94553,9781138100275, Routledge, Perry ,2016,"Contemporary Society
		            	",PAPERBACK ,BUY ,NEW ,$192.50 ,PAPERBACK ,BUY ,USED ,$144.50 ,PAPERBACK ,RENT ,NEW ,$144.38 ,Digital ,BUY ,,$176.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
