course,isbn1,publisher1,author1,year1,title1,type1a,buyrent1a,option1a,price1a,type1b,buyrent1b,option1b,price1b,type1c,buyrent1c,option1c,price1c,type1d,buyrent1d,option1d,price1d,type1e,buyrent1e,option1e,price1e,title2,type2a,buyrent2a,option2a,price2a,type2b,buyrent2b,option2b,price2b,type2c,buyrent2c,option2c,price2c,type2d,buyrent2d,option2d,price2d,type2e,buyrent2e,option2e,price2e,title3,type3a,buyrent3a,option3a,price3a,type3b,buyrent3b,option3b,price3b,type3c,buyrent3c,option3c,price3c,type3d,buyrent3d,option3d,price3d,type3e,buyrent3e,option3e,price3e
94576," 9780534516345, 9780374277901"," Cengage Learning, Farrar, Straus & Giroux"," Larsen , Ratliff "," 2003, 2016","Crossroads in Music
		            	",PAPERBACK,BUY,NEW,$156.00 ,PAPERBACK,BUY,USED,$117.00 ,,,,,,,,,,,,,"Every Song Ever
		            	",Hardcover,BUY,NEW,$26.00 ,Hardcover,BUY,USED,$19.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94577,9780745631172," Blackwell Publishing, Incorporated", Esman ,2004,"Intro to Ethnic Conflict
		            	",,BUY,NEW,$28.25 ,,BUY,USED,$21.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94579," 9780300209341, 9781452268798"," Yale University Press, Sage Publications, Incorporated"," Gardner , Chayko "," 2014, 2017","App Generation
		            	",PAPERBACK,BUY,NEW,$16.00 ,PAPERBACK,BUY,USED,$12.00 ,PAPERBACK,RENT,NEW,$12.80 ,PAPERBACK,RENT,USED,$6.40 ,,,,,"Superconnected (Loose-leaf)
		            	",Loose-Leaf,BUY,NEW,$45.75 ,Loose-Leaf,BUY,USED,$34.50 ,Loose-Leaf,RENT,USED,$18.30 ,Digital,BUY,,$36.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
94578," 9781452268798, 9780300209341"," Sage Publications, Incorporated, Yale University Press"," Chayko , Gardner "," 2017, 2014","Superconnected (Loose-leaf)
		            	",Loose-Leaf,BUY,NEW,$45.75 ,Loose-Leaf,BUY,USED,$34.50 ,Loose-Leaf,RENT,USED,$18.30 ,Digital,BUY,,$36.00 ,,,,,"App Generation
		            	",PAPERBACK,BUY,NEW,$16.00 ,PAPERBACK,BUY,USED,$12.00 ,PAPERBACK,RENT,NEW,$12.80 ,PAPERBACK,RENT,USED,$6.40 ,,,,,,,,,,,,,,,,,,,,,,,,,
94581,9781107437326, CAMBRIDGE UNIV PRESS, Wallace ,2016,"Psychology of the Internet
		            	",PAPERBACK,BUY,NEW,$43.50 ,PAPERBACK,BUY,USED,$32.75 ,PAPERBACK,RENT,NEW,$32.63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94583," 9780865477483, 9780415706445",," McDonough , Mulligan "," 2013, 2015","Upcycle
		            	",PAPERBACK,BUY,NEW,$24.00 ,PAPERBACK,BUY,USED,$18.00 ,PAPERBACK,RENT,NEW,$18.00 ,PAPERBACK,RENT,USED,$9.60 ,,,,,"Intro to Sustainability
		            	",PAPERBACK,BUY,NEW,$63.95 ,PAPERBACK,BUY,USED,$48.00 ,PAPERBACK,RENT,NEW,$47.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94580,9781107437326, CAMBRIDGE UNIV PRESS, Wallace ,2016,"Psychology of the Internet
		            	",PAPERBACK,BUY,NEW,$63.95 ,PAPERBACK,BUY,USED,$48.00 ,PAPERBACK,RENT,NEW,$47.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
