newprice2,isbn3,newprice1,title1,author3,usedprice2,usedprice3,course,title2,title3,isbn1,author1,author2,isbn2,usedprice1,newprice3
,,$83.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$62.25,
,,,,,,,,,,,,Gainor,,,
,,,,,,,,,,,,,9780393921526,,
,,,,Gainor,,,,,,,,,,,
,9780393921526,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : THTR : 213 : 001 : Course ID 94588,,,,,,,,
,,,Creating Life on Stage,,,,,,,,,,,,
,,,Creating Life on Stage,,,,,,,,,,,,
,,,,,,,,,,,Mason,,,,
,,,,,,,,,,9780325009193,,,,,
,,$23.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,$17.50,
,,,,,,,,,,,,Mason,,,
,,,,,,,,,,,,,9780325009193,,
,,,,Mason,,,,,,,,,,,
,9780325009193,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94594,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94595,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94596,,,,,,,,
,,,,,,,All : 2016 Fall : SET : 302 : 101 : Course ID 94544,,,,,,,,
,,,,,,,All : 2016 Fall : SET : 303 : 103 : Course ID 94546,,,,,,,,
,,,Elements of Photogrammetry,,,,,,,,,,,,
,,,Elements of Photogrammetry,,,,,,,,,,,,
,,,,,,,,,,,Wolf,,,,
,,,,,,,,,,9780071761123,,,,,
,,$162.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$121.50,
,,,,,,,,,,,,Wolf,,,
,,,,,,,,,,,,,9780071761123,,
,,,,Wolf,,,,,,,,,,,
,9780071761123,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : SET : 303 : 101 : Course ID 94545,,,,,,,,
,,,Elements of Photogrammetry,,,,,,,,,,,,
,,,Elements of Photogrammetry,,,,,,,,,,,,
,,,,,,,,,,,Wolf,,,,
,,,,,,,,,,9780071761123,,,,,
,,$162.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$121.50,
,,,,,,,,,,,,Wolf,,,
,,,,,,,,,,,,,9780071761123,,
,,,,Wolf,,,,,,,,,,,
,9780071761123,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : SET : 301 : 101 : Course ID 94543,,,,,,,,
,,,Surveying,,,,,,,,,,,,
,,,Surveying,,,,,,,,,,,,
,,,,,,,,,,,Anderson,,,,
,,,,,,,,,,9780070159143,,,,,
,,$333.75,,,,,,,,,,,,,
,,,,,,,,,,,,,,$250.50,
,,,,,,,,,,,,Anderson,,,
,,,,,,,,,,,,,9780070159143,,
,,,,Anderson,,,,,,,,,,,
,9780070159143,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : SET : 304 : 451 : Course ID 94547,,,,,,,,
,,,Adjustment Computations,,,,,,,,,,,,
,,,Adjustment Computations,,,,,,,,,,,,
,,,,,,,,,,,Ghilani,,,,
,,,,,,,,,,9780470464915,,,,,
,,$201.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,$151.00,
,,,,,,,,,,,,Ghilani,,,
,,,,,,,,,,,,,9780470464915,,
,,,,Ghilani,,,,,,,,,,,
,9780470464915,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : SET : 307 : 101 : Course ID 94548,,,,,,,,
,,,Brown's Boundary Control & Legal Prin,,,,,,,,,,,,
,,,Brown's Boundary Control & Legal Prin,,,,,,,,,,,,
,,,,,,,,,,,Robillard,,,,
,,,,,,,,,,9781118431436,,,,,
,,$150.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$112.50,
,,,,,,,,,,,,Robillard,,,
,,,,,,,,,,,,,9781118431436,,
,,,,Robillard,,,,,,,,,,,
,9781118431436,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94549,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94550,,,,,,,,
,,,,,,,All : 2016 Fall : Course ID 94551,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : 001 : Course ID 94552,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : 003 : Course ID 94553,,,,,,,,
,,,Contemporary Society,,,,,,,,,,,,
,,,Contemporary Society,,,,,,,,,,,,
,,,,,,,,,,,Perry,,,,
,,,,,,,,,,9781138100275,,,,,
,,$192.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,$144.50,
,,,,,,,,,,,,Perry,,,
,,,,,,,,,,,,,9781138100275,,
,,,,Perry,,,,,,,,,,,
,9781138100275,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : 005 : Course ID 94554,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : 009 : Course ID 94556,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : 007 : Course ID 94555,,,,,,,,
,,,Our Posthuman Future,,,,,,,,,,,,
,,,Our Posthuman Future,,,,,,,,,,,,
,,,,,,,,,,,Fukuyama,,,,
,,,,,,,,,,,Fukuyama,,,,
,,,,,,,,,,,Fukuyama,,,,
,,,,,,,,,,,Fukuyama,,,,
,,,,,,,,,,9780312421717,,,,,
,,,,,,,,,,9780312421717,,,,,
,,,,,,,,,,9780312421717,,,,,
,,,,,,,,,,9780312421717,,,,,
,,$17.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$12.75,
,,,,,,,,Return to the Moon,,,,,,,
,,,,,,,,Return to the Moon,,,,,,,
,,,,,,,,,,,,Fukuyama,,,
,,,,,,,,,,,,Fukuyama,,,
,,,,,,,,,,,,Fukuyama,,,
,,,,,,,,,,,,Fukuyama,,,
,,,,,,,,,,,,,9780312421717,,
,,,,,,,,,,,,,9780312421717,,
,,,,,,,,,,,,,9780312421717,,
,,,,,,,,,,,,,9780312421717,,
$25.00,,,,,,,,,,,,,,,
,,,,,$18.75,,,,,,,,,,
,,,,,,,,,Infinite Reality,,,,,,
,,,,,,,,,Infinite Reality,,,,,,
,,,,Fukuyama,,,,,,,,,,,
,,,,Fukuyama,,,,,,,,,,,
,,,,Fukuyama,,,,,,,,,,,
